epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,623.443,1.03991,2.72159,1.28887,0.37233,0.46237,0.38884,0.27461,0.98354,3.19146,1.2623,0.067112,0.000165266,0.000165266
2,1393.23,1.02314,2.29187,1.31047,0.34181,0.52651,0.37271,0.23013,1.00908,2.97244,1.2992,0.0339394,0.000325958,0.000325958
3,2163.26,1.01647,2.16892,1.33282,0.61765,0.44038,0.48733,0.32465,1.13009,2.50235,1.43746,0.000760762,0.00048065,0.00048065
4,2938.7,0.99585,2.01559,1.34236,0.44234,0.57508,0.54806,0.36274,1.05567,2.40106,1.45587,0.000473,0.000473,0.000473
5,3708.6,1.01539,1.93546,1.34771,0.61609,0.51809,0.54216,0.371,1.04767,1.84103,1.37316,0.000464,0.000464,0.000464
